Rank,Release Group,Worldwide,Domestic,%,Foreign,%
158,Dead Weight,"$16,987,957",-,-,"$16,987,957",100%
159,Life or Something Like It,"$16,872,671","$14,448,589",85.6%,"$2,424,082",14.4%
160,The Good Girl,"$16,856,124","$14,018,296",83.2%,"$2,837,828",16.8%
161,Femme Fatale,"$16,838,910","$6,630,252",39.4%,"$10,208,658",60.6%
162,They,"$16,446,271","$12,840,842",78.1%,"$3,605,429",21.9%
163,The Powerpuff Girls Movie,"$16,426,471","$11,412,414",69.5%,"$5,014,057",30.5%
164,The Magdalene Sisters,"$16,373,112","$306,989",1.9%,"$16,066,123",98.1%
165,The Emperor's Club,"$16,318,449","$14,118,751",86.5%,"$2,199,698",13.5%
166,Rabbit-Proof Fence,"$16,217,411","$6,199,600",38.2%,"$10,017,811",61.8%
167,Birthday Girl,"$16,171,098","$5,142,576",31.8%,"$11,028,522",68.2%
168,To Be and to Have,"$16,063,920","$777,129",4.8%,"$15,286,791",95.2%
169,Doraemon: Nobita and the Robot Kingdom,"$16,053,687",-,-,"$16,053,687",100%
170,Public Enemy,"$15,897,574",-,-,"$15,897,574",100%
171,Hey Arnold! The Movie,"$15,249,308","$13,728,902",90%,"$1,520,406",10%
172,Boat Trip,"$15,020,293","$8,600,126",57.3%,"$6,420,167",42.7%
173,Undisputed,"$14,946,150","$12,764,657",85.4%,"$2,181,493",14.6%
174,Possession,"$14,815,898","$10,113,733",68.3%,"$4,702,165",31.7%
175,Hollywood Ending,"$14,569,744","$4,850,753",33.3%,"$9,718,991",66.7%
176,Stealing Harvard,"$14,277,032","$14,036,406",98.3%,"$240,626",1.7%
177,Godzilla Against MechaGodzilla,"$14,122,958",-,-,"$14,122,958",100%
178,Wet Dreams,"$13,936,317",-,-,"$13,936,317",100%
179,Dirty Pretty Things,"$13,904,766","$8,112,414",58.3%,"$5,792,352",41.7%
180,Juwanna Mann,"$13,802,599","$13,670,733",99%,"$131,866",1%
181,Trapped,"$13,414,416","$7,073,251",52.7%,"$6,341,165",47.3%
182,Toei Spring Anime Fair,"$13,107,237",-,-,"$13,107,237",100%
183,Long Time Dead,"$13,102,295",-,-,"$13,102,295",100%
184,Knockaround Guys,"$12,806,614","$11,715,637",91.5%,"$1,090,977",8.5%
185,Narc,"$12,633,747","$10,465,659",82.8%,"$2,168,088",17.2%
186,The Other Side of the Bed,"$12,630,208",-,-,"$12,630,208",100%
187,Sorority Boys,"$12,517,488","$10,200,032",81.5%,"$2,317,456",18.5%
188,Nine Queens,"$12,413,888","$1,222,889",9.9%,"$11,190,999",90.1%
189,Abandon,"$12,302,219","$10,727,683",87.2%,"$1,574,536",12.8%
190,The Eye,"$12,165,016","$512,049",4.2%,"$11,652,967",95.8%
191,2009: Lost Memories,"$12,049,825",-,-,"$12,049,825",100%
192,The Rules of Attraction,"$11,819,244","$6,532,619",55.3%,"$5,286,625",44.7%
193,Mohou-han,"$11,702,775",-,-,"$11,702,775",100%
194,The Order,"$11,560,806","$7,660,806",66.3%,"$3,900,000",33.7%
195,Adrenaline Rush: The Science of Risk,"$11,011,932","$10,994,028",99.8%,"$17,904",0.2%
196,Extreme Ops,"$10,959,475","$4,842,259",44.2%,"$6,117,216",55.8%
197,Champion,"$10,569,737",-,-,"$10,569,737",100%
198,Bibi Blocksberg,"$10,325,928",-,-,"$10,325,928",100%
199,Kamen Rider Ryuki: Episode Final,"$10,112,538",-,-,"$10,112,538",100%
200,Pulse: A Stomp Odyssey,"$10,086,514","$10,086,514",100%,-,-
