Rank,Release Group,Worldwide,Domestic,%,Foreign,%
101,Boo! A Madea Halloween,"$74,827,344","$73,206,343",97.8%,"$1,621,001",2.2%
102,Miracles from Heaven,"$73,983,003","$61,705,123",83.4%,"$12,277,880",16.6%
103,I Am Not Madame Bovary,"$70,826,207","$436,798",0.6%,"$70,389,409",99.4%
104,See You Tomorrow,"$70,065,569",-,-,"$70,065,569",100%
105,One Piece Film: Gold,"$66,207,073","$423,593",0.6%,"$65,783,480",99.4%
106,Moonlight,"$65,172,611","$27,854,932",42.7%,"$37,317,679",57.3%
107,Monster Trucks,"$64,493,915","$33,370,166",51.7%,"$31,123,749",48.3%
108,Fences,"$64,414,761","$57,682,904",89.5%,"$6,731,857",10.5%
109,"Hail, Caesar!","$63,647,656","$30,498,085",47.9%,"$33,149,571",52.1%
110,The Nice Guys,"$62,788,218","$36,261,763",57.8%,"$26,526,455",42.2%
111,Huo guo ying xiong,"$58,106,427","$779,818",1.3%,"$57,326,609",98.7%
112,L.O.R.D: Legend of Ravaging Dynasties,"$58,089,494","$350,456",0.6%,"$57,739,038",99.4%
113,Nine Lives,"$57,814,445","$19,700,032",34.1%,"$38,114,413",65.9%
114,Zoolander 2,"$56,722,693","$28,848,693",50.9%,"$27,874,000",49.1%
115,Barbershop: The Next Cut,"$55,030,051","$54,030,051",98.2%,"$1,000,000",1.8%
116,The Age of Shadows,"$54,491,162","$541,719",1%,"$53,949,443",99%
117,A Chinese Odyssey: Part Three,"$53,306,108",-,-,"$53,306,108",100%
118,Tunnel,"$52,444,295","$568,876",1.1%,"$51,875,419",98.9%
119,Patriots Day,"$52,185,751","$31,886,361",61.1%,"$20,299,390",38.9%
120,My Beloved Bodyguard,"$52,165,873",-,-,"$52,165,873",100%
121,The Finest Hours,"$52,099,090","$27,569,558",52.9%,"$24,529,532",47.1%
122,Master,"$51,636,415","$597,251",1.2%,"$51,039,164",98.8%
123,Doraemon the Movie: Nobita and the Birth of Japan,"$50,939,840",-,-,"$50,939,840",100%
124,The Wailing,"$49,851,770","$786,633",1.6%,"$49,065,137",98.4%
125,Two Is a Family,"$49,619,118",-,-,"$49,619,118",100%
126,Never Gone,"$48,980,792","$96,421",0.2%,"$48,884,371",99.8%
127,Luck-Key,"$48,913,975","$466,505",1%,"$48,447,470",99%
128,Florence Foster Jenkins,"$48,902,953","$27,383,770",56%,"$21,519,183",44%
129,Mother's Day,"$48,782,670","$32,492,859",66.6%,"$16,289,811",33.4%
130,"Yo-kai Watch Movie: It's the Secret of Birth, Meow! 2016 Re-release","$47,642,462",-,-,"$47,642,462",100%
131,A Monster Calls,"$47,309,313","$3,740,823",7.9%,"$43,568,490",92.1%
132,Risen,"$46,432,579","$36,880,033",79.4%,"$9,552,546",20.6%
133,Eddie the Eagle,"$46,152,800","$15,789,389",34.2%,"$30,363,411",65.8%
134,Blair Witch,"$45,173,154","$20,777,061",46%,"$24,396,093",54%
135,Boonie Bears: The Big Top Secret,"$45,150,390",-,-,"$45,150,390",100%
136,Café Society,"$43,763,247","$11,103,205",25.4%,"$32,660,042",74.6%
137,League of Gods,"$43,498,766","$181,633",0.4%,"$43,317,133",99.6%
138,Almost Christmas,"$42,580,920","$42,158,780",99%,"$422,140",1%
139,The Witch,"$40,423,945","$25,138,705",62.2%,"$15,285,240",37.8%
140,The Wild Life,"$40,075,446","$8,005,586",20%,"$32,069,860",80%
141,Love O2O,"$39,969,537",-,-,"$39,969,537",100%
142,The Forest,"$39,712,000","$26,594,261",67%,"$13,117,739",33%
143,Absolutely Fabulous: The Movie,"$39,219,109","$4,772,155",12.2%,"$34,446,954",87.8%
144,My Mom Is a Character 2,"$39,195,565",-,-,"$39,195,565",100%
145,Masterpiece Mystery: Sherlock: The Abominable Bride,"$39,139,204",-,-,"$39,139,204",100%
146,"Crouching Tiger, Hidden Dragon: Sword of Destiny","$38,659,039",-,-,"$38,659,039",100%
147,Hell or High Water,"$37,879,877","$27,007,844",71.3%,"$10,872,033",28.7%
148,Mission Milano,"$37,749,848",-,-,"$37,749,848",100%
149,The Handmaiden,"$37,692,886","$2,006,788",5.3%,"$35,686,098",94.7%
150,Snowden,"$37,357,216","$21,587,519",57.8%,"$15,769,697",42.2%
151,Nobunaga Concerto: The Movie,"$36,187,594",-,-,"$36,187,594",100%
152,Eye in the Sky,"$35,259,653","$18,704,595",53%,"$16,555,058",47%
153,Les Tuche 2: The American Dream,"$35,210,425",-,-,"$35,210,425",100%
154,Os Dez Mandamentos - O Filme,"$31,998,251",-,-,"$31,998,251",100%
155,Bounty Hunters,"$31,918,573",-,-,"$31,918,573",100%
156,Ae Dil Hai Mushkil,"$31,668,920","$4,264,983",13.5%,"$27,403,937",86.5%
157,Assassination Classroom: The Graduation,"$31,352,921",-,-,"$31,352,921",100%
158,Perfect Strangers,"$31,254,929",-,-,"$31,254,929",100%
159,Billy Lynn's Long Halftime Walk,"$30,930,984","$1,738,477",5.6%,"$29,192,507",94.4%
160,Pandora,"$30,896,701",-,-,"$30,896,701",100%
161,Norm of the North,"$30,734,502","$17,062,499",55.5%,"$13,672,003",44.5%
162,When the Bough Breaks,"$30,658,387","$29,747,603",97%,"$910,784",3%
163,S Storm,"$30,381,402",-,-,"$30,381,402",100%
164,Nocturnal Animals,"$30,311,857","$10,663,357",35.2%,"$19,648,500",64.8%
165,A Silent Voice: The Movie,"$30,277,098","$310,407",1%,"$29,966,691",99%
166,Keeping Up with the Joneses,"$29,918,745","$14,904,426",49.8%,"$15,014,319",50.2%
167,Jackie,"$29,777,777","$13,960,394",46.9%,"$15,817,383",53.1%
168,Masterminds,"$29,674,699","$17,368,022",58.5%,"$12,306,677",41.5%
169,Flight Crew,"$29,171,110",-,-,"$29,171,110",100%
170,Viking,"$29,161,298",-,-,"$29,161,298",100%
171,M.S. Dhoni: The Untold Story,"$28,903,047","$1,801,550",6.2%,"$27,101,497",93.8%
172,Fan,"$28,240,000","$2,300,000",8.1%,"$25,940,000",91.9%
173,"Yôkai Watch: the Movie: The Flying Whale and the Grand Adventure of the Double Worlds, Meow!","$28,110,245",-,-,"$28,110,245",100%
174,Welcome to Germany,"$28,036,021",-,-,"$28,036,021",100%
175,The Brothers Grimsby,"$27,979,040","$6,874,837",24.6%,"$21,104,203",75.4%
176,When Larry Meets Mary,"$27,863,090",-,-,"$27,863,090",100%
177,Yesterday Once More,"$27,413,790",-,-,"$27,413,790",100%
178,The Light Between Oceans,"$25,975,621","$12,545,979",48.3%,"$13,429,642",51.7%
179,A Beautiful Planet,"$25,730,120","$15,650,615",60.8%,"$10,079,505",39.2%
180,Mr. Donkey,"$25,537,759","$356,255",1.4%,"$25,181,504",98.6%
181,Born in China,"$25,081,168","$13,873,211",55.3%,"$11,207,957",44.7%
182,Race,"$25,070,261","$19,206,207",76.6%,"$5,864,054",23.4%
183,Call of Heroes,"$25,040,561",-,-,"$25,040,561",100%
184,Free State of Jones,"$25,035,950","$20,810,036",83.1%,"$4,225,914",16.9%
185,Whiskey Tango Foxtrot,"$24,972,139","$23,083,334",92.4%,"$1,888,805",7.6%
186,Soulmate,"$24,684,439",-,-,"$24,684,439",100%
187,The Snow Queen 3: Fire and Ice,"$24,644,317",-,-,"$24,644,317",100%
188,God's Not Dead 2,"$24,487,848","$20,774,575",84.8%,"$3,713,273",15.2%
189,Camping 3,"$24,224,579",-,-,"$24,224,579",100%
190,The Founder,"$24,121,245","$12,786,053",53%,"$11,335,192",47%
191,Bad Santa 2,"$24,079,268","$17,782,178",73.8%,"$6,297,090",26.2%
192,Spirits' Homecoming,"$23,857,217","$125,616",0.5%,"$23,731,601",99.5%
193,Silence,"$23,834,809","$7,100,177",29.8%,"$16,734,632",70.2%
194,Kevin Hart: What Now?,"$23,591,043","$23,591,043",100%,-,-
195,No manches Frida,"$23,540,937","$11,528,613",49%,"$12,012,324",51%
196,Middle School: The Worst Years of My Life,"$23,316,139","$20,007,149",85.8%,"$3,308,990",14.2%
197,Triple 9,"$23,177,948","$12,639,297",54.5%,"$10,538,651",45.5%
198,Rock Dog,"$23,139,802","$9,420,546",40.7%,"$13,719,256",59.3%
199,The Choice,"$23,064,015","$18,730,891",81.2%,"$4,333,124",18.8%
200,Penny Pincher!,"$22,955,486",-,-,"$22,955,486",100%
